row,source_label,narrative
5315,Mortgage,"On XXXX XXXX I made my typical mortgage payment online which was on auto pay for {$700.00} though my bank. In XXXX I received a letter stating that my payment was in suspense and that a late charge had been assessed for not making my payment on time. When I researched this, I found that my payment had increased in XXXX 2015 to {$780.00}. I immediately called the main office and paid the delinquent amount of {$86.00}. At this time I also found out they did not have an accurate phone number for me as well, which I have updated. 
I pride myself on paying my bills on time and this was an oversight on my part. I understand the importance of this issue and I should have paid more attention to the statement. 
I 'm currently in the process of refinancing my primary residence and the late reporting has crushed my credit report to the point I no longer qualify. I am simply asking for a onetime retraction. I know this is not common, but have found out that many lenders have done this in certain circumstances. 
I have called several times and written correspondence asking for them to rectify the mistake. When I do call, I 'm not able to actually talk to someone that can make a decision. They say that there is no "" customer facing '' person that I can talk to. The only communication that is allowed is through letters."
5316,Consumer loan,"Nelnet is employing predatory practices to extort borrowers. I applied for Income Driven Repayment plans, was not updated on its status, and called numerous times for updates. On each call, usually hours long, the associate would tell me not to worry, and that I would receive an approval soon. This began in XX/XX/XXXX. 

By XX/XX/XXXX, I still had not received that information, and they notified me that a payment was coming due. I called again, and this time spent nearly 3 hours talking to an associate. It turns out Nelnet had never processed the application. I worked with her to get it approved right there and then, and to apply the forbearance to the previous months. She said it was completed, and sent me official documents stating I had {$0.00} payments through XX/XX/XXXX. 

Today, XX/XX/XXXX, I received an email stating there were now over {$2000.00} in payments due, including a {$1800.00} charge that was 131 days past due. 

If I wasnt tenacious and frustrated to the point of fury, I could see how Nelnet would prey on someone who might just pay the charge and get further into financial ruin. 

This is completely unacceptable, and it is in line with a long string of predatory behavior. Nelnet recently lost a class action lawsuit around the same matter in Massachusetts. They are not fit as a lender, and are more fit to sell used cars as that is the kind of practices theyre employing."
5317,Credit reporting,ILLINOIS STUDENT ASSISTANCE COMMISION LOAN XXXX WAS PAID TO DELETE FROM ALL CREDIT BUREAUS. AND STILL REPORTING COLLECTION STATUS TODAY.! EXPERIAN ANAD XXXX THE ORIGINAL TRADE LINE WAS FROM 2006 AND AND NOW IS TIME BARRED.
5318,Bank account or service,"We submitted multiple checks for escrow and scanned the front of the checks ( front only ) and emailed them to the contractor as proof of delivery. The contractor was fired from the project after delivery of the checks to escrow. The checks were written on XX/XX/XXXX and cleared our account on XX/XX/XXXX. I called our attorney to confirm he still had the original checks in his possession, which he did, still held in escrow The contractor printed the PDF 's that were emailed to him, cut the paper into check size and endorsed the back, which as a blank sheet of paper and proceeded to mobile deposit them into his Bank of America account. You can clearly see in the attached documents that the checks were printed on a printer, cut into size and the back is blank because it was a sheet of paper and not an actual check. We notified our relationship manager at Regions bank on XX/XX/XXXX regarding the fraudulent checks, she agreed they were fraudulent and informed me we had 60 days to file a complaint. The checks were on our XX/XX/XXXX statement so we were within the time constraints. Our relationship manager incorrectly filled out the claim so Regions internally rejected the claim twice in 4 months without ever sending the claim to XXXX  XXXX XXXX. When Regions finally sent the claim to XXXX  XXXX XXXX, at our request, XXXX XXXX XXXX paid 2 of the 7 fraudulent checks but the contractor had drained his account of money so the other checks didn't get paid. I've attached copies of the checks and a response from Regions regarding the claim. 

Regions still does not fully understand that the images that were mobile deposited are not of the actual check, they were photos of an image printed on a printer with no actual back of the check."
5319,Consumer loan,"XX/XX/XXXX I contacted Hyundai regarding getting the title and bill of sales after I was told by XXXX secretary of State that I needed the title/bill of sale before it could be transferred to me. The lease was paid off in XX/XX/XXXX.. On XX/XX/XXXX I spoke to a customer. rep who said that the title dept only worked on titles 2 days a week. They sent an e-mail, which I never received. In early XX/XX/XXXX I received a notorized disclaimer regarding the car but no title or bill of sale. I have contacted the company by mail as of XX/XX/XXXX."
5320,Credit reporting,"I appreciate your time to REMOVE some of the inaccurate items in my file that resulted from problems caused by inaccurate credit information, but I still have ITEMS left that needed to be removed. This is my new attempt to dispute an inquiry in my credit file which resulted from an incorrect credit report details. Again, Im sending over an Identity Theft Report # XXXX. Pursuant of FCRA section 605B ( a ) ( 1 ) ( 2 ) you are required to remove any information in my file that resulted from an alleged identity theft, not later than 4 business days after the date of receipt with ( 1 ) appropriate proof of the identity of the consumer ; ( 2 ) a copy of an identity theft report. 
EXPERIAN : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX4. Please note that you have 4 business days to remove the reporting of any items in my credit file that resulted from an incorrect credit report details. I do not consent to XXXX or any means of automated verification."
5321,Credit reporting,"Tried to place a fraud alert on Transunion after being notified of a breach of security at Utah XXXX XXXX , Inc. I was able to successfully place alerts on XXXX and XXXX  online with absolutely no problems. Transunion was impossible. I called customer service and they were no help at all. Kept asking me to try different browsers, different sites, or the website is temporarily down, etc. Nothing worked! This is not the first difficulty I have experienced with them. I faxed copies of S.S. card and license in the past, only to be told they never received the fax! Their website is awful, customer service is incompetent and I am not sure how they ever became a major credit reporting agency. Consumer alerts had them rated 1 star. They have thousands of reported complaints. Their license should be revoked. Is your agency aware of this and investigating?"
5322,Debt collection,"In a letter dated XX/XX/year> marking the initial communication from the debt collector, they failed to notify me of my right to dispute the validity of the alleged debt within thirty days after receipt of notice. They also did not convey this information within five days after initial communication."
5323,Mortgage,"I have a scheduled foreclosure sale date on XXXX/XXXX/XXXX. On XXXX/XXXX/XXXX I was informed by XXXX to submit a letter to request a postponement of my foreclosure. This letter was faxed by a non-profit housing counseling agency, XXXX, on XXXX/XXXX/XXXX. Later I spoke with Ditech to check on the status of my postponement and was informed that this letter was not reviewed and no assistance was granted because there was no packet to review. This is contradictory to what I was informed and has prohibited me from pursuing much needed mortgage assistance. I spoke with Ditech on XXXX/XXXX/XXXX and requested a reinstatement amount as of XXXX/XXXX/XXXX I still do not have this figure. It seems as if Im being given the run around and I am only trying to find a resolution towards saving my home. I believe that proper communication and accurate information is not being shared, unfortunately to my detriment."
5324,Consumer loan,"On XX/XX/year>, the Loan Account XXXX with a balance of {$1000.00} was added to a third party Debt Consolidation Company called XXXX XXXX XXXX I initiated this transfer of the debt due to Affirm 's lack of communication and lack of payment options. Affirm is not communicating appropriately about this outstanding debt. Affirm will no longer be able to obtain this debt from me, but from XXXX XXXX XXXX as they act as Power of Attorney over the account. I had to make this decision because Affirm never contacted me about the debt and when I initiate contact now, they have no options for me to make payments on the debt, nor does their Collections Agency. If the third party Debt Consolidation Company is able to establish contact negotiations over this debt, then a payment or payments can be made to complete the payoff. It is highly suggestable to Affirm that they take this seriously because I made many attempts to pay towards this after they charged the loan off, but they are making it difficult for me to make payments. The purpose of this complaint is to allow this to be in the database for other consumers to see how Affirm operates so they can potentially make a better decision when taking out loans, as Affirm should not have charged off this debt. Affirm claims they sent me emails letting me know that the Debt would be charged off prior to this occurring, however, I have no record of emails from them stating such."
5325,Consumer loan,"I bought hard drive s at Amazon, and used their 6-months no in terest payment plan financed via Synchrony Bank using my checking account.  <P/>  I made timely regular payments until Synchrony changed their website. Then my payments were deemed late, and Synchrony charged me a {$25.00} late fee for each late payment. I called Synchrony, had them rem ove the {$25.00} fee, and made the payment over the phone with my debit card.  <P/> But Synchrony continued to deem each future monthly payment late, with a {$25.00} late fee. Each time I called them, I had the {$25.00} late fee removed, and paid the payment over the phone via my debit card.  <P/> I made a detailed written record of each of my calls. Attached are my detailed notes. Please note my  XX/XX/XXXX  conversation with  XXXX  of Synchrony Bank. After she did a detailed analysis of my account and payment record, she concluded that my account information was correct, and that everything was Synchrony Banks error.  <P/> I have highlighted in yellow on my notes her statement that Synchrony Bank made the error.  <P/> After a late payment error occurred again in  XX/XX/XXXX , I made all future payments starting in  XX/XX/XXXX over the phone, via my debit card, and requested a confirmation number from Synchrony Bank for each payment.  <P/> I paid off my entire balance within the six-month, no interest period.  <P/> However, several months later, I checke d my Amazon/Synchrony Bank ac count, and noticed that Synchrony Bank had closed it.  <P/> Since I anticipate using the Amazon/Synchrony six-month no interest payment plan in the futureand having received no real help from SynchronyIm requesting CFPBs kind assistance."
5326,Debt collection,"Hello,

Professional Account ManagementXXXX is repeatadly contacting me threateaning to file a report with the Credit Reporting agencies despite the fact that I provided them with a written notice disputing the validity of the debt withing 30 days of original notice.

Their Acct # for me is XXXX
Their phone # XXXX"
5327,Credit card,"Hi, I had a ( recorded ) conversation with a Citibank agent on the XXXX of XX/XX/year>, around XXXX, over the phone. 
She assured me that the autopay of {$5600.00} went through, and there are no issues with that. She did not indicate in any way that the payment was still in process. 
The next day, all my utility payments, scheduled to be charged to my credit card, were denied. The CitiBank app then started showing that the autopay amount of {$5600.00} had failed, and I am being charged {$30.00} for a check return fee. This is in addition to what my utility company charged me ( $ XXXX $ ). 

I escalated the issue. The worst part is that the executive team refuses to acknowledge that what they did is wrong. The bad part is that I was not given the correct information and charged for it. 

Thanks"
5328,Money transfer or service,"On XXXX XXXX, I was in communication with XXXX XXXX XXXX XXXX, who is my custom clearance company from New Jersey, regarding my invoice regarding a shipment and its status of arriving. During that conversation, I received an email from a similar domain of XXXX XXXX 's representative, who was a scammer, asking for an outstanding amount of USD XXXX with new account details and used XXXX XXXX account name for deposit of the amount. 

The amount was due to XXXX XXXX and the maturity date of the payment had also arrived. We were tricked in such an obvious way that we could not even think for a second that we were getting scammed. 

The payment due date, the signature at the end of the email, the amount of invoice and the account details were all matching the actual vendor. 

The new account the scammer provided were : Bank Name : FNBO Account number - XXXX Swift Code : XXXX Bank address- XXXX XXXX XXXX XXXX XXXX , CO , XXXX Routing number - XXXX We unfortunately went ahead with the payment and sent the screenshot over XXXX to the actual guy from XXXX XXXX XXXX to which they were shocked and refused to provide any new account details but it was too late until then as it was an ACH transfer. 

Upon checking, we found with FNBO that the actual beneficiary name is : XXXX XXXX Other than this, they refused to cooperate or provide any information."
5329,Money transfer or service,"On XX/XX/XXXX. A payment was initiated from XXXX to XXXX for earned funds from my XXXX channel. I received a link to accept the funds from XXXX, Upon clicking the link XXXX suspended my account and after multiple attempts conversing with XXXX I have no been able to get the account reinstated and my funds transferred into my verified checking account. I have gone through their resolution/help process without any movement forward. It seems that the funds are lost in between XXXX and XXXX. I have tried to contact XXXX via phone and email and have gotten no movement towards resolution. I have reverified checking account, email address and phone number and sent them screenshots of the emails and errors. Was informed that the money would be returned to XXXX after 30 days it has been close to 60 and nothing has been returned. Original case number is XXXX"
5330,Credit reporting,"I was XXXX on XX/XX/XXXX I was XXXX until XX/XX/XXXX. During this time of my XXXX somebody used my Barclay rewards MasterCard I had {$200.00} or so that was my debt on the card but Barclay is claiming that I owe {$700.00} now. I 'm XXXX. I have no source of income except for XXXX so they ca n't come after me for any money but I 'm looking to settle with them to pay the XXXX I think it was like {$220.00} and then have it squashed and make them take it off of the credit bureau so it quits ruining my credit score. but they have n't even been able to help me with filing that there 's fraudulent charges on there I can prove I was XXXX they just keep wanting this {$700.00} that I do n't legally owe and they wo n't let me log into my account so I can print out these charges that were n't mine and show them and a lawyer or discuss them to come to a settlement. Because I was XXXX, the police are n't interested in the identity theft that happened to me but I still need to get this fraudulent debt squashed. Like I said I 'll even pay the XXXX or so dollars that I do owe. Please help me resolve this matter as it is really affecting my life in a negative way. Thank you."
5331,Debt collection,"ON XX/XX/XXXX @ XXXX HOURS THE COLLECTOR STATED THIS ACCOUNT WAS IN "" PRE LITIGATION '' STATUS AND PROCEEDED TO LIST OFF ALL THE THINGS THAT COULD HAPPEN SUCH AS WAGE GARNISHMENT, ETC. 

COLLECTOR PROCEEDED TO LIST OFF ACCOUNTS ON MY CREDIT REPORT, INCLUDING THE TRUCK I PURCHASED IN XXXX ( AS MY PREVIOUS ONE HAD BROKEN DOWN ) AND ALL THE CREDIT CARDS THAT I COULD POSSIBLY PUT THIS DEBT ON. THE COLLECTOR MADE THE INSINUATION THAT IF I CAN AFFORD A {$600.00} A MONTH TRUCK PAYMENT I CAN AFFORD TO PAY OFF THE DEBT.

THE AGENT ATTEMPTED TO BULLY ME INTO PAYING THE DEBT, THROUGH SCARE TACTICS OF LEGAL AVENUES AND OUTCOMES ALONG WITH BEING BULLIED BT ATTEMPTING TO TELL ME WHAT I SHOULD DO WITH MY CREDIT LINES TO RESOLVE THE DEBT ON XX/XX/XXXX @ XXXX HOURS ANOTHER FEMALE AGENT CALLED ME I ADVISED HER I WILL THINK ABOUT THE RESOLUTION AND GET BACK TO THE COMPANY. SHE STATED "" WHAT IS THERE TO THINK ABOUT? '' I STATED "" COMING UP WITH THE MONEY '' AND SHE STATED "" I MEAN, DID YOU NOT HAVE THE MONEY WHEN YOU SIGNED UP FOR THE LOAN? '' I ADVISED I HAD TRIED TO MAKE SOME GOOD FAITH PAYMENTS IN THE PAST. SHE OFFERED A 'HARDSHIP PLAN ' WHICH I STATED I WILL CONSIDER AFTER TALKING TO MY SPOUSE. SHE STATED "" WHERE IS YOUR WIFE? '' I STATED "" AT WORK '' AND THE AGENT PROCEEDED TO SAY "" WELL WHAT IS HER NUMBER AND WE WILL DO A CONFERENCE CALL AT WORK '' AND I STATED, "" WE WILL NOT CALL MY WIFE AT WORK '' THE AGENT TOLD ME "" I KEEP AVOIDING THE SITUATION AND KEEP COMING UP WITH EXCUSES AND THIS THAT AND THE OTHER '' THE AGENT AS WELL AS THE FIRST ONE WAS ATTEMPTING TO BULLY ME INTO MAKING PAYMENT ON THIS DEBT BY INSINUATING THAT THIS DEBT WAS IN A "" PRE LITIGATION STATUS '' THESE ARE ONLY TWO OF MULTIPLE CALLS FROM THIS FIRM USING THE SAME HARASSING TACTICS."
5332,Credit card,"On XX/XX/year>, I received emails regarding the closure of multiple credit cards account I have with American Express with the following message : We are writing to inform you that after a recent review of your American Express account ( s ) referenced above, have exercised our right under the Cardmember Agreement to cancel the account ( s ). I called American Express on XX/XX/year> asking for the specific reason and they mentioned that they the term of service mentioned they could close my account for whatever reason. While I agree that its their right to do this based on the term that I agreed to, I had jut pay the {$890.00} annual fee on my card in XXXX. That account also has over XXXX Membership rewards points that I now lost. There are also XXXX other accounts that I paid a combined of {$440.00} in annual fee that are now closed. American Express closed my accounts without any prior notices while I was traveling abroad and I was struggled to figured out how to pay for my flight and hotels."
5333,Bank account or service,"All of sudden, I received an ATM card from Citizens Bank on XXXX XXXX, 2016 and then another letter following day that welcomes me for opening an account with them ( which I HAVE NEVER DONE ) and asking for my signature. So I called the XXXX XXXX XXXX ( found on letter ). I told the Citizens Bank customer service how I have never opened an account with them and requested closing the account immediately but I was told I need to provide my social security number or somehow go to their branch somewhere in XXXX to get any help. Either that, just cut the ATM card. How that solves any problem knowing that an account is opened under my name without my knowledge and permission? I believe my 2 phone conversations with them is recorded. Prior to this, I have never even heard of Citizens Bank. I read online this is a very common phishing practice to acquire new customers. It 's very disturbing and worrisome. Please help."
5334,Money transfer or service,"I am writing to report a persistent issue with the lock/unlock feature for my Coinbase debit card, which Ive observed on both the Coinbase XXXX app and your website. When I toggle the card to "" locked '' within the app or website, the interface initially shows the card as locked. However, upon reloading the page or app, the card appears as "" unlocked '' again. This discrepancy is concerning, as it suggests the lock function is not working as intended, potentially exposing my account to unauthorized transactions. 

Ive replicated this issue multiple times across different sessions, ensuring my app and browser are up to date and my internet connection is stable. The problem persists regardless of whether I access my account from my XXXX device or a computer. This inconsistency undermines my confidence in the security of my card and account."
5335,Credit card,"I am disputing the collection account with Jefferson Capital Systems , LLC, account number XXXX XXXX XXXX XXXXXX/XX/year>, with a balance of {$490.00}. This account is unverified and does not belong to me. Despite my efforts to resolve this issue by contacting both the collections agency and the original creditor, I have not received any satisfactory resolution. I request an immediate investigation into this account and demand that Jefferson Capital Systems , LLC, provide verifiable proof of ownership and validity of this debt. I expect a swift response and the removal of this erroneous information from my credit report in accordance with the Fair Credit Reporting Act ( FCRA ). I had my identity stolen and this account must come from that."
5336,Money transfer or service,"I am filing a complaint against Block , Inc [ CashApp ] due to inadequate customer service and unfair practices, which violate the Consumer Financial Protection Act ( CFPA ). Specifically, Block , Inc [ CashApp ] failed to take timely and effective measures to address issues on their platform, leaving my account vulnerable and unprotected.

Furthermore, their dispute resolution process was both unfair and deceptive, as they did not comply with error resolution requirements under the Electronic Fund Transfer Act ( EFTA ) and Regulation E. These failures have caused significant inconvenience, financial loss, and unnecessary stress, and I am seeking appropriate redress for these issues."
5337,Debt collection,Received a settlement letter XX/XX/XXXX for a balance owed from XXXX XXXX of {$650.00}. I settled for {$320.00} on 10/23. XXXX XXXX still has not provided the Settled in full letter honoring the settlement.
5338,Debt collection,"See attached document 2nd Notice. 

Bernhardt Strawser, PA, Pursuant Regulation F, 12 CFR 1006, 15 USC 1692 I have exercised my specified remedy and sent you the first letter for notice of debt validation. Bernhardt Strawser, PA, you have violated my Rights pursuant 12 CFR 1006.34 ( c )."
5339,Credit reporting,"Dear TransUnion, Experian and Equifax, I've previously attempted to dispute this account ; with no resolution.

This letter serves as a formal dispute regarding inaccurate late payment information currently listed on my credit report for the following account : Creditor Name ( XXXX XXXX XXXX  ) Account Number ( XXXX ) : My credit report currently shows a consistent pattern of "" XXXX '' days late payments for nearly every month throughout XXXX ( XXXX ) and XXXX ( XXXX ). This pattern is highly improbable and suggests a significant error in the reporting of my payment history for this account. It is not realistic for an account to be exactly XXXX  days late each and every consecutive month over such an extended period. 

Furthermore, my credit report also indicates a status of "" Paid or paying as agreed '' with an entry of "" XX/XX/XXXX ''. This status contradicts the consistent listing of XXXX late payments in the preceding years, suggesting that the account was brought current. 
The consistently reported "" XXXX '' days late status appears to be a data entry error, a system malfunction, or a misinterpretation of account status codes. This inaccurate reporting is negatively impacting my credit score, and I request an immediate investigation into this discrepancy."
5340,Debt collection,"IQ Data International , Inc. has been repeatedly calling and harassing me about a debt that has clearly been charged off. I have requested a 1099-C form, but instead of addressing my request, they hang up and continue to call back hours later."
5341,Consumer loan,"On XX/XX/year>, at approximately XXXX AM, I contacted Credit Acceptance and spoke with a customer service representative regarding the past due balance on my account. During the conversation, I inquired whether a portion of the late fees could be removed if I made a partial payment toward the past due amount. The representative informed me that Credit Acceptance would be willing to remove XXXX late payment fees. 

However, as of Friday, XX/XX/year>, those fees have not been removed. I subsequently spoke with XXXX additional customer service representatives, and neither was able to locate any notes or records of the prior agreement. 

I am concerned about the inconsistency in communication and the continued assessment of late fees despite having an active payment arrangement in place. This experience raises serious concerns about the transparency and practices of Credit Acceptance, and I urge a thorough review and resolution of this matter."
5342,Consumer loan,"I qualify for and am enrolled in the Public Services Loan Forgiveness ( PSLF ) Program. In XX/XX/XXXX, I submitted my application through the federal government to have my account changed from an Income Based Repayment ( IBR ) plan to the Pay as you Earn ( PAYE ) plan. My loan servicer, FedLoan Servicing, based in XXXX, PA did not begin processing this request until XX/XX/XXXX at which point it placed my account in forbearance to make the changes to my account. They did not complete the update until XX/XX/XXXX. Because forbearance is not a qualifying status for PSLF, the 3 months that my account was in forbearance do n't count toward the 120 payments, pushing my eligibility date from XX/XX/XXXX to XX/XX/XXXX. 
Under standard repayment, my monthly payment is > {$1200.00} per month, resulting in approximately {$3700.00} additional dollars that I am liable for because of their failure to update my account in a timely manner. Additionally, placing an account in forbearance causes interest to be capitalized, which in my case resulted in {$1700.00} in interest being added to my principle balance."
5343,Credit reporting,"Hello. Please know that I take my credit seriously, and I'm deeply concerned about the inaccurate inquiries I saw on my credit report. These mistakes are causing me stress and it's also impacting my ability to secure new credit. Ive worked hard to build my credit, and its frustrating to see it negatively affected by errors that arent my fault. It is stressing me out and making me XXXX. Hope you can address this soon, please. This situation is unfair, and I need it corrected immediately to prevent further damage. Thanks."
5344,Money transfer or service,"I have been a Coinbase customer since XXXX. Since that time, I have had no issues with my account. On XX/XX/XXXX, Coinbase locked me out of my account for no reason, and did not send me an email to tell me that it was doing so. On XX/XX/XXXX, XXXX, XXXX XXXX, XXXX, XXXX XXXX XXXX XXXX, of XXXX I called Coinbase and they informed me that I would need to complete identity verification by sending in a photo of myself which included a picture of my ID and a note stating "" FOR COINBASE AUTHORIZATION. '' I did what was requested and then I got no response. I called Coinbase again, and they put me on hold 4 times, and told me to expect a follow up email. An email had not been received after 24 hours. I called Coinbase again, again was told to wait for an email from the escalation team. At this point I have done what has been requested of me to do. I want Coinbase to restore my account. It should not be this difficult or time consuming to get identify verification completed. As well, I use my Coinbase for regular purchases and it is my primary means of payment, without it, I am without my capability to pay for things I normally purchase. Coinbase has shown no sense of urgency to restore my account so that I may continue doing my business as normal. They have denied me to delete my banking account information or have access to my funds"
5345,Consumer loan,"I am a Georgia resident who received an installment loan from XXXX XXXX XXXX XXXX XXXX in the amount of {$1200.00} with an APR of approximately XXXX XXXX 

I have paid {$690.00} toward the loan. I contacted the lender in writing to request a payoff amount and to offer repayment of the remaining principal balance of {$500.00} in order to resolve and close the loan. 

The lender confirmed that XXXX authorization has been revoked, but refused to address my written dispute or confirm whether repayment of the remaining principal would satisfy the loan in full. Instead, the lender stated that payment arrangements can not be discussed in writing and insisted that I must speak with a representative by phone. 

I am not refusing to pay. I am offering full repayment of the principal amount borrowed and am requesting written confirmation of payoff terms. I am requesting assistance in resolving this matter and closing the account without excessive finance charges."
5346,Money transfer or service,I attempted to buy an item from a cash app account holder that was selling items on a platform I paid for the item {$250.00} and the person stopped replying to me and others I reported it to cash app and they said there was nothing they could do about it I clearly wrote what the money transfer was for as well as it still needed to be sent but it was a scam
5347,Credit card,Chime allowed an unauthorized transaction to debit my card after I got confirmation from them they blocked charges and no money has been taken out of my account. But the total opposite happened they allowed them the transaction and I still have t been refunded my money
5348,Bank account or service,"Last Monday XX/XX/year> transactions from an unauthorized XXXX account tried to make over XXXX purchases. I said it wasnt me that tried to make the purchase when chime asked was it me through txt, yet they still allowed the transactions. XXXX of those I put in a dispute for because they had cleared and processed the remaining transactions had not been and were still pending, so chime asked if I would call back when they cleared. I did so and put in a dispute, not even XXXX hours and they denied the second dispute. The first dispute is still under investigation. I asked why was it denied and they told me they couldnt tell me. The first dispute was over {$700.00} worth of charges. The second one that was denied was {$110.00} and some change! At this point, chime has stolen my money! I am out of $ XXXX for transactions that I denied, not to mention once I seen the unauthorized transactions I canceled my card. I am just trying to get my money back. At this point chime is committing fraud and stealing by not even wanting to give my money back."
5349,Consumer loan,I had a XXXX XXXX financed through CMM in XXXX XXXX I was 30 days past due I talked with XXXX in there collections on XX/XX/XXXX and informed her that I would be caught up by Friday the XX/XX/XXXX woke up on XX/XX/XXXX and the car was gone. XXXX new that it was going to be repossessed and did not say anything. It was only 30 days. I explained to her that I had been evicted and I was going to get caught up by Friday. This is totally fraud or just a right out money hustling company not to mention the people who got the vehicle tore up my moms driveway.
5350,Credit card,"WELLS FARGO GAVE A PERSON WHO STOLE MY IDENTITY USED MY NAME, PHOTO ID, SOCIAL SECURITY NUMBER AND OPEN FRAUDULENT SECURE WELLS FARGO CARD TRYING TO STEAL MY IDENTITY I am writing to request and initiate a formal complaint against XXXX XXXX XXXX XXXX  CRAS. On XX/XX/2020, I mailed XXXX XXXX XXXX XXXX to Block Fraudulent information being reported, accounts for which I am a victim of identity theft. ( ATTACHED ). 
They have been unwilling and/or unable to conduct an adequate investigation and/or failed or refused to block usage of these fraudulent accounts being reported. Please contact these agencies and initiate a formal investigation into possible violations of the Fair Credit Reporting Act and/or Fair Debt Collections Practices Act. I will also be contacting the Attorney General and Postal Inspection Service for other possible violations of the law."
5351,Mortgage,"During the Covid-19 pandemic. I had trouble paying my mortgage. I reached out to then BB & T for a deferment payment plan. After agreeing verbally to a deferment, multiple attempts to receive the necessary paperwork to make it official seemed to get lost in the shuffle. Attempt after attempt different reps telling me there sending new paperwork out and still nothing came. Recently I made a payment of XXXX on XX/XX/22 with rep XXXX XXXX. XXXX also stated that the merger between BB & T And Truist may be the reason behind the miscommunication and that she would personally have someone to look into fixing this issue. And she called back a week later saying she exhausted all of her options and that somebody else would be reaching out shortly and never did. Also XXXX XXXX is another rep to claim to help but XXXX said she didn't do anything on my account. Other reps also called but they would let the phone ring enough to hang up or if I answer would hang up in my ear.."
5352,Money transfer or service,On XX/XX/year> tried to dispute two transactions from XX/XX/XXXX both for {$79.00} each I put in a dispute with Cash App due to scam I received an email saying they couldnt determine a scam and will not issue me a refund this happens all the time with Cash App they refuse to give anybody money back due to scams. Ive even tried contacting my bank but because I transferred money out of my account to Cash App they wont give me a refund either they told me I had to contact Cash App for the refund which they are refusing.
5353,Credit reporting,"XXXX XXXX is inaccurately reporting a late payment on my account that is allegedly more than 30 days past due. However, there are discrepancies in the reported dates across the XXXX major credit bureaus : Equifax : Reports the late payment as occurring in XXXX of XXXX  ; XXXX : Reports the late payment as occurring in [ Different Month ]. 
XXXX : XXXX the late payment as occurring in XXXX of XXXX. 

These discrepancies are affecting my credit score and misrepresent my creditworthiness. my account was never more than 30 days past due. 

I have previously contacted XXXX XXXX to address this issue, but they have not corrected the error. Additionally, I have filed disputes with each of the credit bureaus, but the inaccuracies have been verified without proper resolution."
5354,Debt collection,"This is an update to my prior complaint number XXXX. I was advised today that XXXX from Ally Financial, who I have previously complained about has attempted to contact the pastor who married my wife and I on XX/XX/2017 and  contacted the woman who did my wife 's make up. He has contacted my old employer on too many occasions to put down in this complaint. He has also contacted my ex-wife, her family and all of my family members. I have no issue with him contacting me, but this is clearly harassment now and a violation of the law. He needs to be stopped or I will take legal action."
5355,Mortgage,"The lender ( https : //www.myloancare.com/ ) has not paid property taxes from the escrow account. I have raised 2 tickets with the lender with the tax bill attached and called them 4 times in XX/XX/2021. They do not respond to the online tickets and on the call I get a different response every time. 

The tax deadline is XX/XX/XXXX and I am concerned they will not pay in time and I will be stuck with the penalty as well. 


I have attached the receipts for the 2 tickets I have raised with the lender and the tax bill."
5356,Mortgage,"The account in discussion is Keybank NA account # XXXX the issue at hand is a late pay reported in XX/XX/2020, due to Covid-19 I was unable to make the payment. When I was well enough to work I did make the payment immediately."
5357,Mortgage,"I inquired on a PMI statement that I received in XX/XX/XXXX to my banker. I was told by my original loan officer that once I pay up to 78 % of the loan, the PMI will go away and I wont need to make any more payments. I decided to pay make an extra payment one month after the loan to be below the 78 % on XX/XX/XXXX. 

I now being told that XXXX XXXX  recognizes the extra payment to 78 %, but the loan is actually outsourced to XXXX and they go by the "" scheduled '' to 78 % for the automatic cancellation and don't recognize extra payments. This means I have been paying a PMI for 3 years even though I have been clearly under the 78 % and was under the impression that I wasn't I will note. I did not send a letter to cancel my PMI to XXXX until now."
5358,Money transfer or service,"Purchased some crypto currency using an address from my coinbase wallet. Horrible customer service. Still trying to get a useful response from coinbase after 25 days of repeated attempts. Case # XXXX I am not alone with this problem 100 of people accross the USA and around the world have fallen victims of this fraudulent company which has its head office in XXXX  XXXX XXXX. 
Here are some of the key players at Coinbase you can contact : XXXX XXXX CEO XXXX XXXX COO XXXX XXXX Head of Engineering Will Conder Recruitment XXXX XXXX Global head of belonging Inclusion and experience XXXX XXXX Director of Product management"
5359,Mortgage,"Wells Fargo did nothing to resolve complaint XXXX-XXXX  Wells Fargo has had several opportunities to bring my account up to date and they have refused to do so. They simply explain what happened, and then they tell me they transferred my mortgage to another bank. They have yet to offer a resolution, but simply an explanation of what happened. They received documents establishing a partial claims promissory FHA HUD1 note on XXXX XXXX and were supposed to apply the funds from that note to my loan. They didn't apply those funds, and on XX/XX/XXXX they transferred my mortgage to XXXX XXXX. XXXX. As it is now I owe the money for this note at the end of my mortgage, and Wells Fargo has yet to apply those funds to my mortgage which is what they are bound to do by the documents of this note. This has been going on since XXXX and I have made several attempts to get them to post the money from the Partial Claims note to my mortgage and they refuse to do so while telling me they transferred my mortgage."
